permalink	city	lat	long	created_at	Projet	puissance	color	power
Chester Services, Cheshire, M56, J14	Chester, Cheshire West and Chester	53.268519	-2.802768	25/04/14	RCN	44KW	blue	50
Stafford Services (S), Staffordshire, between junctions J14-15	Stafford, Staffordshire	52.872692	-2.160503	25/04/14	RCN	44KW	blue	50
Killington Lake Services, Cumbria, between junctions J36-37 southbound	Kendal, Kilington Lake	54.314454	-2.635117	25/04/14	RCN	44KW	blue	50
IKEA WARRINGTON, Cheshire, 910 Europa Blvd, Westbrook, Warrington  	Westbrook, Warrington	53.418078	-2.626317	30/04/14	RCN	44KW	blue	50
IKEA Leeds (Birtley), West Yorkshire, Holden Ing Way, Birstall Retail Park, Batley, Leeds	Birstall, Batley, West Yorkshire	53.74497	-1.648802	22/05/14	RCN	44KW	blue	50
IKEA Birmingham, West Midlands, Park Ln, Wednesbury, Birmingham	Wednesbury, Birmingham	52.569687	-2.014377	23/05/14	RCN	44KW	blue	50
Charnock Richard North, Lancashire, between junctions J27-28	Chorley, Lancashire	53.631517	-2.691597	19/06/14	RCN	44KW	blue	50
Charnock Richard South, Lancashire, between junctions J27-28	Chorley, Lancashire	53.631374	-2.689953	19/06/14	RCN	44KW	blue	50
Corley North, Warwickshire, between junctions J3-4	Corley, Warwickshire	52.470572	-1.54607	25/06/14	RCN	44KW	blue	50
Corley South, Warwickshire, between junctions J3-4	Corley, Warwickshire	52.472057	-1.547602	25/06/14	RCN	44KW	blue	50
Birch Services East, Lancashire, between junctions J18-19	Heywood, Lancashire	53.568041	-2.232242	26/11/14	RCN	44KW	blue	50
Birch Services West, Lancashire, between junctions J18-19	Heywood, Lancashire	53.567784	-2.230268	26/11/14	RCN	44KW	blue	50
Burton in Kendal (North), Lancashire, between junctions J35-36	Burton-in-Kendal	54.178479	-2.733997	24/10/14	RCN	44KW	blue	50
Cambridgeshire Services, 14 miles north of Cambridge	Boxworth, Cambridge	52.269234	-0.009549	26/09/14	RCN	44KW	blue	50
Ferrybridge Services, West Yorkshire, at J33	Pontefract, West Yorkshire	53.698215	-1.266915	14/11/14	RCN	44KW	blue	50
Dumfries & Galloway, Gretna Green Services, between junctions J21-22.	Gretna Green, Dumfriesshire	55.00777	-3.082936	25/09/14	RCN	44KW	blue	50
Hilton Park Services (S), Staffordshire,  between junctions J10A-11	North Essington, Staffordshire	52.643228	-2.057769	01/10/14	RCN	44KW	blue	50
 Hilton Park Services (N), Staffordshire, between junctions J10A-11	North Essington, Staffordshire	52.643599	-2.054969	01/10/14	RCN	44KW	blue	50
Knutsford Services (N), 	Knutsford, Cheshire	53.300346	-2.401642	11/11/14	RCN	44KW	blue	50
Knutsford Services (S), 	Knutsford, Cheshire	53.301492	-2.400344	11/11/14	RCN	44KW	blue	50
Forton, Lancaster N, Lancashire, between junctions J32-33	Forton, Lancashire	53.96136	-2.759671	23/10/14	RCN	44KW	blue	50
Forton, Lancaster S, Lancashire, between junctions J32-33	Forton, Lancashire	53.962573	-2.760084	23/10/14	RCN	44KW	blue	50
Norton Canes Services M6 Toll,Staffordshire,  between junctions JT6-T7	Norton Canes, Staffordshire	52.664782	-1.966612	25/09/14	RCN	44KW	blue	50
Southwaite (N), Cumbria, between junctions J41-42	Southwaite, Carlisle	54.797753	-2.871329	05/11/14	RCN	44KW	blue	50
Southwaite (S), Cumbria, between junctions J41-42	Southwaite, Carlisle	54.798685	-2.868868	05/11/14	RCN	44KW	blue	50
Todhills Rest Area North, Cumbria, between junctions J44-45	Todhills, Carlisle	54.949937	-2.979631	05/11/14	RCN	44KW	blue	50
Todhills Rest Area South, Cumbria, between junctions J44-45	Todhills, Carlisle	54.951549	-2.978617	05/11/14	RCN	44KW	blue	50
Stafford Services (N), Staffordshire, between junctions J14-15	Stone, Staffordshire	52.886171	-2.173019	02/10/14	RCN	44KW	blue	50
Lymm Truckstop, Cliffe Lane, Lymm, Cheshire WA13 at J20, Warrington	Lymm, Cheshire	53.358738	-2.505402	18/12/14	RCN	44KW	blue	50
Mile End, Shewsebury Road, Oswestry	Oswestry	52.849054	-3.028198	19/02/15	RCN	44KW	blue	50
Singing Kettle, St Asaph Road, Holywell, Clwyd	Holywell, Clwyd	53.273686	-3.305466	27/02/15	RCN	44KW	blue	50
Liverpool Airport, Merseyside	Merseyside	53.338357	-2.854199	24/02/15	RCN	44KW	blue	50
Birmingham Airport 	Birmingham 	52.452319	-1.731253	02/04/15	RCN	44KW	blue	50
Port of Holyhead,   	Isle of Anglesey 	53.30933	-4.627999	01/05/15	RCN	44KW	blue	50
South Dublin-Stillorgan Luas Park & Ride, Sandyford Office Park	Stillorgan	53.280299	-6.213906	05/05/15	RCN	44KW	blue	50
Sprucefield Shopping Centre, Magherageery	Lisburn, Co. Down, Northern Ireland	54.491866	-6.061417	26/06/15	RCN	44KW	blue	50
Birchanger Green Services, Bishop Stortford	Hertfordshire 	51.872017	0.195297	27/07/15	RCN	44KW	blue	50
Birchanger Green Services, Bishop Stortford	Hertfordshire 	51.872017	0.195297	27/07/15	RCN	44KW	blue	50
Embankment Filling Station 	Newtownabbey	54.659265	-5.908099	24/07/15	RCN	44KW	blue	50
Hartshead Moor services W (North|	Brighouse 	53.712614	-1.746287	06/08/15	RCN	44KW	blue	50
Hartshead Moor services E (South)	Brighouse 	53.713912	-1.743583	06/08/15	RCN	44KW	blue	50
Telford Services 	Shropshire 	52.677377	-2.399351	13/08/15	RCN	44KW	blue	50
Telford Services 	Shropshire 	52.677377	-2.399351	13/08/15	RCN	44KW	blue	50
Rheged Centre	Cumbria 	54.647024	-2.781498	16/09/15	RCN	44KW	blue	50
Rheged Centre	Cumbria 	54.647024	-2.781498	16/09/15	RCN	44KW	blue	50
Burtonwood	 Cheshire	53.417343	-2.638854	04/09/15	RCN	44KW	blue	50
Burtonwood	 Cheshire	53.417343	-2.638854	08/09/15	RCN	44KW	blue	50
Expressway West,	Denbighshire	53.267886	-3.518771	02/10/15	RCN	44KW	blue	50
Kinmel Park Services, Expressway West,	Denbighshire	53.267886	-3.518771	02/10/15	RCN	44KW	blue	50
Kettering Service Station, 	Kettering,	52.423339	-0.728149	15/10/15	RCN	44KW	blue	50
Hetland Hall Hotel,	Dumfries	55.03591	-3.423775	03/11/15	RCN	44KW	blue	50
Keele North Services	Staffordshire_	52.992975	-2.290377	14/10/15	RCN	44KW	blue	50
Keele South Services	Staffordshire_	52.994284	-2.290307	14/10/15	RCN	44KW	blue	50
A63 Eastbound, North Ferriby, Hull	North Ferriby 	53.724147	-0.481145	10/11/15	RCN	44KW	blue	50
Stillorgan Park Talbot  Hotel, Off N11, 	Stillorgan, Co. Dublin.	53.295407	-6.203311	09/09/15	RCN	44KW	blue	50
A12 Southbound, Bentley S/Stn, Ipswich, Suffolk	Suffolk 	52.003354	1.059199	25/11/15	RCN	44KW	blue	50
A12 South, Rivenhall End Witham, 	Witham 	51.818266	0.670252	11/11/15	RCN	44KW	blue	50
North Dublin-Topaz Garage, Stockhole Lane, Off N32, Clonshaugh, Coolock, Dublin 5.	Clonshaugh	53.412084	-6.21676	26/11/15	RCN	44KW	blue	50
Sandbach Services	Cheshire	53.139112	-2.337427	09/12/15	RCN	44KW	blue	50
Sandbach Services	Cheshire	53.139112	-2.337427	09/12/15	RCN	44KW	blue	50
Hereford Road, Bayston Hill, Shrewsbury, Shropshire, 	Shrewsbury, Shropshire, 	52.682122	-2.761073	09/12/15	RCN	44KW	blue	50
The CocoaBean company, 	Dumfries & Galloway	54.869288	-4.070016	14/12/15	RCN	44KW	blue	50
Newmarket  Starbucks	Suffolk 	52.249182	0.363981	16/12/15	RCN	44KW	blue	50
Lymm (second CCS)	Lymm, Cheshire 	53.358738	-2.505402	19/12/15	RCN	44KW	blue	50
Capelgate ( previously called Capel St Mary North)	Ipswich, Suffolk	52.00349	1.057531	21/12/15	RCN	44KW	blue	50
Stranraer	Stranraer	54.905019	-5.022608	31/12/15	RCN	44KW	blue	50
Birch West (2nd CCS)	Heywood, Lancashire 	53.567784	-2.230268	31/12/15	RCN	44KW	blue	50
Bangor	Bangor, Gwynedd	53.203889	-4.105622	29/12/15	RCN	44KW	blue	50
Kinmel Park East (1st CCS)	Bedolwyddan, Denbighshire	53.269583	-3.518618	12/02/16	RCN	44KW	blue	50
Kinmel Park East (2nd CCS)	Bedolwyddan, Denbighshire	53.269583	-3.518618	12/02/16	RCN	44KW	blue	50
Tebay North 	Cumbria 	54.449794	-2.611286	04/02/16	RCN	44KW	blue	50
Applegreen M2 Services, E16, Newtonabbey 	Newtonabbey, Belfast 	54.69288	-6.012418	04/03/16	RCN	44KW	blue	50
Sandbach South 	Sandbach, Cheshire	53.139595	-2.335775		RCN	44KW	green	50
Sabdbach South (2nd CCS)	Sandbach, Cheshire	53.139595	-2.335775		RCN	44KW	green	50
PORTAL DE ELORRIAGA KALEA, 17	VITORIA-GASTEIZ	42.849464	-2.648576		CIRVE		green	50
CTRA. N-II, KM 45,600	ALOVERA	40.57965551	-3.23580584		CIRVE		green	50
C/ ZARAUTZ,136	DONOSTIA-SAN SEBASTIçN	43.30107181	-2.00253032		CIRVE		green	50
C/ ALBERTO AGUILERA, 9	MADRID	40.42950486	-3.70838562		CIRVE		green	50
CTRA. M-602, KM. 13	MADRID	40.37267427	-3.6383925		CIRVE		green	50
CTRA. M-856 (ENLACE N-V Y N-501)	MÓSTOLES	40.33426282	-3.88647125		CIRVE		green	50
AVDA. EINSTEIN, 5 (PQUE. CIAL. MEGAPARK)	SAN SEBASTIçN DE LOS REYES	40.54443051	-3.61015313		CIRVE		green	50
AVDA. DE VALLE INCLçN, S/N	MçLAGA	36.73607257	-4.43458407		CIRVE		green	50
DESVêO ESPINARDO, S/N	ESPINARDO	38.00521221	-1.1454413		CIRVE		green	50
AVDA. DE ASTURIAS, 38	PALENCIA	42.02621411	-4.54940098		CIRVE		green	50
AVDA. DE CUBA, S/N	MAIRENA DEL ALJARAFE	37.35165576	-6.04763944		CIRVE		green	50
CTRA. DE BARCELONA, KM. 9,800	MUSEROS	39.56396511	-0.33411516		CIRVE		green	50
CAMINO VIEJO DE SIMANCAS, 46	VALLADOLID	41.62127988	-4.75648883		CIRVE		green	50
AVDA.DE LA RIBERA, S/N	BARAKALDO	43.29279704	-3.00475815		CIRVE		green	50
AVDA. CASABLANCA, 11	ZARAGOZA	41.62345085	-0.93932351		CIRVE		green	50
CTRA. A-42, KM. 32,200	ILLESCAS	40.15033451	-3.82412337		CIRVE		green	50
CTRA. N-340 (CçDIZ-BARCELONA), KM. 67,7	CASTELLÓN	40.00340768	-0.04288479		CIRVE		green	50
CTRA. N-120 (LOGRO‹O-VIGO), KM. 106	CARDE‹AJIMENO	42.34123529	-3.61335846		CIRVE		green	50
AUTOVêA DEL NORTE, SALIDA 115-119	BOCEGUILLAS	41.32515693	-3.63138289		CIRVE		green	50
CTRA. N-634 (SAN SEBASTIçN-LA CORU‹A), KM. 93	AMOREBIETA-ECHANO	43.22889633	-2.7529704		CIRVE		green	50
C/ Gorbea Mendi 3,	MURGUêA	42.961977	-2.827435		CIRVE		green	50
C/ EBANISTAS 2	ALCORCÓN	40.342444	-3.805716		CIRVE		green	50
CARRETERA VILLAVERDE A VALLECAS, 24	MADRID	40.370394	-3.644576		CIRVE		green	50
POLêGONO LARRAMENDI	BERGARA	43.136772	-2.43138999		CIRVE		green	50
C/ BITORIALANDA 12	VITORIA-GASTEIZ	42.860017	-2.703481		CIRVE		green	50
C/PASEO DE LA CASTELLANA - INTERCAMBIADOR PLAZA DE CASTILLA	MADRID	40.4668966	-3.68919329999994		CIRVE		green	50
C/JOAQUIN MORALES Y TORRES - ESTACIÓN DE SANTA JUSTA	SEVILLA	37.391863	-5.97533899		CIRVE		green	50
76 Brommav_gen 76 Bromma Sweden	Bromma	59.340165	17.940159		CORRIDOR GREAT	50 kW	green	50
1 Vida Nyk_pingsbro Nyk_ping Sweden	Nyk_ping	58.748093	16.920793		CORRIDOR GREAT	50 kW	green	50
1 Ny_ngsgatan 1 Grums Sweden	Grums	59.367270	13.144421		CORRIDOR GREAT	50 kW	green	50
29 Hagalundsv_gen 29 Karlstad Sweden	Karlstad	59.383885	13.477683		CORRIDOR GREAT	50 kW	green	50
