city	state	permalink	created_at	lat	long	color
Paris	NA	nanana	30/03/15 21:50	48.8534	2.3488	green
Berlin	WA	ubyl-zbhagnva-oerjvat	30/06/14 21:50	52.5243700	13.4105300	blue
Hudson	MA	zrqhfn-oerjvat-pbzcnal	01/07/14 00:30	42.39095	-71.566769	blue
Denver	Colorado	fgne-one-2aq	01/07/14 00:42	39.743029	-104.969927	blue
West Hollywood	CA	gur-ubea	01/07/14 02:41	34.084443	-118.385162	blue
Fairfax	Virginia	tlfcl-fbhy	01/07/14 15:41	38.873687	-77.230076	blue
Chicago	IL	sng-jvyyl-f	01/07/14 16:14	41.930462	-87.688725	blue
Fort Collins	CO	cngrebf-perrx-oerjvat	01/07/14 16:32	40.589988	-105.076418	blue
Pasadena	CA	chapu	01/07/14 23:54	34.145522	-118.153826	blue
NY	NY	205-pyho	02/07/14 19:04	40.722419	-73.992002	blue
New York	NY	znxb-al	03/07/14 15:58	40.760481	-74.003246	blue
Brooklyn	NY	gur-svapu	03/07/14 19:51	40.68682	-73.962868	blue
Lewiston	ME	znepur-zr	07/07/14 16:57	44.097993	-70.21753	blue
Traverse City	MI	genirefr-pvgl-juvfxrl	07/07/14 19:30	44.751643	-85.620905	blue
Omaha	NE	becurhz-gurnger-ubyynaq-cresbezvat-negf-pragre	07/07/14 23:26	41.256086	-95.936878	blue
Omaha	NE	ubyynaq-cresbezvat-negf-pragre	08/07/14 00:17	41.258652	-95.931836	blue
Denver	CO	pnsr-pbyber	08/07/14 14:33	39.748407	-104.997604	blue
Sanford	FL	fzbxrl-wbr-f-oneordhr	08/07/14 18:17	28.807303	-81.331719	blue
Lewisville	TX	onqtref-ood	10/07/14 20:30	33.0429	-97.033738	blue
Miami	FL	fgngvba-5	10/07/14 20:34	25.70453	-80.28831	blue
Port Chester	NY	arffn	10/07/14 20:39	41.005827	-73.658805	blue
South Bend	IN	gur-cho	10/07/14 22:38	41.70245	-86.199942	blue
Pasadena	CA	cnfnqran-cvmmn-pb	11/07/14 00:29	34.151755	-118.113064	blue
Brattleboro	VT	qhb-erfgnhenag-irezbag	11/07/14 18:58	42.853078	-72.558603	blue
Denver	CO	qhb-erfgnhenag-qraire	11/07/14 19:35	39.762181	-105.016191	blue
Boise	Idaho	tbar-ebthr-cho	11/07/14 19:37	43.613108	-116.206274	blue
Summerville	SC	rin-f-ba-znva	11/07/14 21:46	33.019241	-80.175212	blue
Brooklyn 	NY	pbbxyla	14/07/14 19:53	40.677055	-73.968681	blue
New York	NY	r-f-one	15/07/14 15:08	40.78665	-73.975354	blue
		neguhe-urael-f-fhccre-pyho	15/07/14 17:04	38.552183	-121.469394	blue
Washington	DC	ngynf-oerj-jbexf	15/07/14 17:55	38.914857	-76.981435	blue
Westport	CT	arng	15/07/14 21:00	41.141114	-73.364564	blue
Gaithersburg 	MD	fuvfunonon-f-ubhfr-bs-ubbxnu	15/07/14 21:58	39.120671	-77.178072	blue
Dallas	TX	gw-f-serfu-frnsbbq-znexrg-cerfgba-eblnyr	16/07/14 18:45	32.896317	-96.803179	blue
Dallas	Texas	gw-f-serfu-frnsbbq-znexrg-bnx-ynja	16/07/14 18:57	32.820047	-96.802067	blue
Vienna	VA	pnobbfr-oerjvat-pbzcnal	16/07/14 21:38	38.907732	-77.270579	blue
Eugene	OR	ryx-ubea-oerjrel	17/07/14 16:51	44.04965	-123.082427	blue
Brooklyn	NY	fnzhenv-znzn	17/07/14 21:24	40.714215	-73.960091	blue
Germantown	MD	znelynaq-ubbxnu-gjb	17/07/14 21:28	39.178815	-77.271208	blue
Brooklyn	NY	obmh	17/07/14 22:32	40.712827	-73.957562	blue
Douglas	MI	gur-xveol	18/07/14 15:30	42.643641	-86.206807	blue
Wilmington	DE	glyre-f	18/07/14 21:36	39.747238	-75.69893	blue
Hartford	CT	arj-orne-f-fzbxrubhfr-oneorphr-jvaqfbe	21/07/14 14:47	41.761761	-72.670687	blue
Annapolis	Maryland	cerfreir	21/07/14 16:17	38.977889	-76.489742	blue
Wimberley	Texas	wboryy-pnsr-naqr-ovfgeb	21/07/14 18:50	30.04013	-98.103357	blue
Fort Lauderdale	FL	cbfu-jvar-one	21/07/14 18:58	26.123234	-80.13678	blue
Jersey City	NJ	gncunhf	21/07/14 20:53	40.721495	-74.031811	blue
Hoboken	NJ	fzbxvat-oneery	21/07/14 21:02	40.753103	-74.029929	blue
Columbus	OH	erfgber-pbyq-cerffrq	22/07/14 03:14	39.988501	-83.032495	blue
Brooklyn	NY	g-o-q-oebbxyla	22/07/14 16:13	40.733337	-73.958003	blue
Jonestown	TX	ebyyvat-guhaqre-ebnqubhfr	22/07/14 16:16	30.493562	-97.924195	blue
Oak Bluffs	MA	erq-png-xvgpura	22/07/14 21:15	41.4568928	-70.5571154	blue
New York	NY 	cerfgb-one-ol-fpbggb	23/07/14 19:00	40.749886	-73.97322	blue
Saratoga	CA	fnengbtn-jvar-orre-tneqra	23/07/14 19:08	37.258275	-122.031776	blue
Sarasota	FL	znggb-znggb-gjb	23/07/14 19:30	27.331622	-82.53875	blue
Torrance	CA	ybh-f-ba-gur-uvyy	23/07/14 23:36	33.797813	-118.35031	blue
Phoenix	Arizona	terrazvk	23/07/14 23:47	33.303559	-111.998552	blue
New York	NY	o-b-o-xvgpura	24/07/14 04:23	40.756784	-73.966775	blue
Elon	North Carolina	gur-bnx-ubhfr	24/07/14 15:51	36.101062	-79.506904	blue
Carrboro	NC	wrffrr-f-pbssrr-naq-one	24/07/14 16:09	35.910736	-79.066605	blue
Las Cruces	NM	sbeturqnobhqvg-cvmmn-yyp	24/07/14 18:43	32.310504	-106.74356	blue
Portland	ME	prageny-cebivfvbaf	25/07/14 17:57	43.656028	-70.253784	green
Santa Fe	NM	yn-zrfvgn	25/07/14 18:41	35.881722	-106.012496	green
Chicago	IL	ivpr-qvfgevpg-oerjvat-pb	25/07/14 19:27	41.862493	-87.62447	green
Tulsa	OK	qbja-gbja-ghyfn	25/07/14 23:03	36.156401	-95.995255	green
Charlotte	NC	znynone-erfgnhenag	29/07/14 18:47	35.156338	-80.831878	green
Brooklyn	NY	wraavsre-f-pbeare	29/07/14 19:38	40.692181	-73.989136	green
Kenosha	Wisconsin	jvar-xabg-one-naq-ovfgeb	29/07/14 20:33	42.584771	-87.818231	green
Tampa	Fl	puevf-f-cynpr	29/07/14 22:17	27.940759	-82.510466	green
Tulsa	OK	phzva-synibe-bs-vaqvn	30/07/14 17:42	36.060789	-95.883908	green
Alexandria	VA	punv-rkcerff	30/07/14 18:12	38.815619	-77.131212	green
San Leandro	CA	pyrbcuhf-dhrnyl-orre-pbzcnal	30/07/14 18:58	37.721948	-122.191053	green
Philadelphia	PA	puunln-pnsr	30/07/14 20:27	39.927238	-75.166338	green
Eugene	OR	oryyl-gndhrevn	30/07/14 22:12	44.054784	-123.092954	green
Dripping Springs	TX	gur-zrepnagvyr-j-zrepre	30/07/14 23:05	30.192576	-98.089129	green
Evanston	IL	527-pnsr	31/07/14 14:04	42.046213	-87.679208	green
ASHEVILLE	NC	fbirervta-erzrqvrf	31/07/14 15:30	35.59666	-82.551371	green
New York	NY	pbssrr-oernx	31/07/14 15:37	40.751985	-73.96978	green
Fort Worth	TX	orneqrq-rry-pensg-oerjrel	31/07/14 19:00	32.860151	-97.364138	green
New Orleans	Louisiana	pnfn-obeertn	31/07/14 19:07	29.939496	-90.080768	green
Blackwood	NJ	fnxhen-fhfuv-wncnarfr-fgrnx-ubhfr	31/07/14 19:37	39.755479	-75.046669	green
Glen Ellyn 	Il	n-gbqn-znqer	31/07/14 20:02	41.87752	-88.066718	green
Chicago	IL	enzra-gnxrln	31/07/14 21:28	41.88664	-87.648367	green
Oakland	CA	orna-fcebhgf-bnxynaq	01/08/14 00:46	37.818677	-122.180485	green
Los Angeles	CA	orna-fcebhgf-yn	01/08/14 01:03	34.27296	-118.393221	green
Santa Ana	CA	orna-fcebhgf-benatr-pbhagl	01/08/14 01:12	33.770889	-117.868493	green
Sausalito	CA	orna-fcebhgf-fnhfnyvgb	01/08/14 01:22	37.835591	-122.476401	green
Berkeley	CA	ryzjbbq-pnsr	01/08/14 01:33	37.858348	-122.253308	green
Montclair	CA	qbypr-pnsr-naq-onxrel	01/08/14 01:50	34.093329	-117.68842	green
San Francisco	CA	fbyhan	01/08/14 20:40	37.780788	-122.416493	green
Torrance	CA	pncvpbyn-f	01/08/14 21:50	33.797878	-118.341046	green
San Francisco	CA	fbhf-orheer-xvgpura	01/08/14 21:57	37.753106	-122.406734	green
Statesboro	GA	fbhgu-pvgl-gnirea	01/08/14 23:24	32.414187	-81.784079	green
Philadelphia	PA	nor-svfure	04/08/14 14:17	39.950748	-75.168151	green
Los Angeles	CA	zrybql-cvmmn	04/08/14 18:23	33.953411	-118.395837	green
Austin	TX	phirr-pbssrr-one-nhfgva	04/08/14 18:23	30.261483	-97.720973	green
Pensacola	Fl	xbua-f-ba-cnynsbk	04/08/14 19:48	30.411737	-87.214904	green
Healdsburg	CA	urnyqfohet-one-tevyy	05/08/14 00:00	38.610003	-122.870693	green
Gilbert	AZ	fvqrjvaqre-fhof	05/08/14 00:33	33.349768	-111.82104	green
Palm Springs	CA	rearfg-pbssrr-pb-bar	05/08/14 19:19	33.83751	-116.547015	green
Palm Springs	CA 	rearfg-pbssrr-pb-gjb	05/08/14 19:36	33.837513	-116.54739	green
Houston	Tx	fmrpujna-jbx	05/08/14 20:34	29.775491	-95.186986	green
New York	NY	qbhtu-oblf-cvmmn	06/08/14 23:45	40.743791	-73.979114	green
Athens	Georgia	znzn-f-obl-2	07/08/14 18:29	33.959368	-83.36849	green
Woodstock	NY	jbbqfgbpx-pbzzhar-fnybba	07/08/14 19:45	42.040544	-74.153722	green
Oneonta	NY	o-fvqr-onyyebbz	08/08/14 20:40	42.452308	-75.063292	green
Seattle	WA	oranebln-unyy	11/08/14 18:18	47.60812	-122.337159	green
San Francisco	CA	ubhfr-tbng	11/08/14 19:51	37.790841	-122.40128	green
San Francisco	CA	ehzbef	12/08/14 00:51	37.775469	-122.406658	green
Avondale Estates	Georgia	cnyybbxnivyyr-svar-sbbqf	12/08/14 20:03	33.776523	-84.267113	green
New York	NY	gur-ybqtr-pnfrl	13/08/14 04:18	40.733129	-73.998044	green
Minneapolis	MN	zrepunag	13/08/14 18:38	44.9854	-93.269481	green
Branford	CT	r-zpurael-f-vevfu-cho	13/08/14 21:12	41.260775	-72.801156	green
Long Beach	CA	serfu-xnobof	13/08/14 22:20	33.771529	-118.190122	green
Providence	RI	oenff-zbaxrl-eubqr-vfynaq	14/08/14 13:46	41.79313	-71.397099	green
Tallahassee	FL	zbqn	14/08/14 18:35	30.436364	-84.296884	green
New York	NY	fbhy-bs-gur-fcnpr	14/08/14 23:13	40.719267	-73.985156	green
Golden	CO	oneeryf-obggyrf	15/08/14 22:00	39.756526	-105.219955	green
Bend	Oregon	iryirg-ybhatr	15/08/14 23:44	44.058301	-121.315182	green
Greenfield 	Ohio	pngpu-22-fcbegf-cho	18/08/14 14:21	39.351716	-83.382405	green
Sidney	MT	zrnqbjynex-choyvp-ubhfr	18/08/14 18:14	47.714745	-104.157523	green
Torrance	CA	zbaxvfu-oerjvat	18/08/14 22:55	33.846708	-118.309397	blue
San Mateo	Ca	znaqnyn-ybhatr	19/08/14 21:04	37.544889	-122.304729	blue
Fall City	WA	snyy-pvgl-ovfgeb	19/08/14 21:51	47.570816	-121.887347	blue
Yarmouth	ME	ovfgeb-233	20/08/14 15:21	43.800621	-70.186723	blue
Golden	CO	zbhagnva-gbnq-oerjvat	20/08/14 19:43	39.758098	-105.224252	blue
Waltham	MA	erq-oyeq	20/08/14 20:16	42.370018	-71.237356	blue
Portland	OR	aveinan-pnsr	20/08/14 20:24	45.517042	-122.660418	blue
Chicago	IL	znpuh-cvppuh	20/08/14 20:36	41.952352	-87.669189	blue
Cornelius	NC	gur-jvar-pryyne	20/08/14 20:52	35.481706	-80.882542	blue
leavenworth	Wa	qre-uvagreubs-orre-tneqra	21/08/14 00:55	47.594456	-120.660054	blue
Canton	MA	nzore-ebnq-pnsr	21/08/14 02:00	42.154026	-71.14569	blue
Bend	Oregon	wbbym	21/08/14 20:46	44.05887	-121.31356	blue
Berkeley	CA	trpxb-trpxb	21/08/14 23:01	37.870743	-122.270421	blue
Quincy	MA	znttl-f-ybhatr	22/08/14 15:08	42.246321	-70.976653	blue
Brooklyn	NY	rfzr	22/08/14 18:27	40.733196	-73.954973	blue
New York	NY	gur-cynpr	22/08/14 19:20	40.737262	-74.003965	blue
Knoxville	TN	fzbxrq-unjtf	22/08/14 19:26	35.935917	-84.003411	blue
Fort Lauderdale	FL	znevan-84-fcbegf-one-tevyy	25/08/14 19:54	26.085916	-80.173402	blue
Scottsdale	Az	onq-jngre-oerjvat	25/08/14 22:43	33.497244	-111.924642	blue
Los Angeles	CA	zrna-terraf	26/08/14 18:00	34.084101	-118.361167	blue
Greenfield	Ohio	guerr-fcbbaf-qvare	26/08/14 19:16	39.351453	-83.381961	blue
Chicago	il	puvpntb-tevaq	26/08/14 20:04	41.977961	-87.660213	blue
Leesburg	Virginia	orre-wbvag-oerjrel-yrrfohet	26/08/14 21:29	39.112629	-77.554014	blue
Omaha	NE	fpevcgbja-oerjvat-pbzcnal	26/08/14 22:13	41.257968	-95.97287	blue
Los Angeles	CA	p2betnavpf	26/08/14 22:34	34.101018	-118.32931	blue
San Francisco	CA	ynml-orne	26/08/14 22:51	37.760485	-122.419762	blue
